"title","description","company_name","category"
"Senior QA Automation Engineer - up to 3500$","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Work-life balance - flexible work hours, Fully remote with unlimited vacation, Competitive package including Tet Bonus""}, {""title"": ""Job description"", ""body"": ""Design and implement automated testing frameworkfor our uniform integration adapters across 2000+ platforms, Create automated test suitesusing Selenium, Playwright, or similar tools for UI testing and workflow validation, Build API test automationto validate data synchronization, transformations, and error handling across integrations, Develop testing strategies that scale across diverse enterprise systems with minimal manual intervention, Test integration workflows built in n8n and similar low-code platforms before client UAT, Verify API connections, authentication flows, and error handling mechanisms, Document test cases and results for client implementations, Test user interfaces for our integration platform and client-facing tools, Validate UI/UX flows and user interactions, Identify visual bugs and usability issues""}, {""title"": ""Your skills and experience"", ""body"": ""5+ years QA/testing experiencewith strong focus on test automation, Expert-level knowledge of test automation frameworks- Selenium, Cypress, Playwright, or similar, Programming proficiencyin at least one language (JavaScript/NodeJS or PHP) for writing test scripts, API testing expertise- Postman or similar tools for automated API validation, CI/CD pipeline experience- integrating automated tests into deployment workflows, Basic Englishfor written documentation and management communication, Experience testing integration platforms or iPaaS solutions, Knowledge of low-code platforms (n8n, Make.com, Zapier), Experience with performance testing tools (JMeter, k6), Familiarity with Docker and containerized testing environments, Understanding of enterprise systems data structures (ERP, CMMS, WMS)""}, {""title"": ""Why you'll love working here"", ""body"": ""Annual bonus (13th salary)based on individual and company performance, Annual healthcare allowance, ESOP -commitment to Makini's growth, UNLIMITED VACATION policy- take time off when you need it, Flexible work schedule- manage your own hours outside of required client calls, Fully remote- work from anywhere, AI tools and resources- subscriptions to AI agents and AI credits to enhance your productivity, Professional development opportunities, Exposure to cutting-edge enterprise technologiesand US market practices, Collaborative team environmentwith engineering and QA support, International work experience- daily interaction with US-based clients and team, Work-life balance- flexible hours compensate for occasional late calls""}]","Makini","Automation Tester"
"Integration Engineer ERP/WMS/EAM - up to 3000$","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Work-life balance - flexible work hours, Fully remote with unlimited vacation, Competitive package including Tet Bonus""}, {""title"": ""Job description"", ""body"": ""Build integration workflows using low-code automation platforms to connect enterprise systems (ERP, CMMS, financial platforms, WMS), Design and implement field mappings, data transformations, conditional logic, and error handling within workflow tools, Configure authentication, API connections, sync schedules, and leverage pre-built adapters developed by our engineering team, Conduct User Acceptance Testing (UAT) sessions with clients, create test scenarios and validate end-to-end workflows, Identify and troubleshoot configuration issues in real-time during testing, Coordinate with QA team on complex scenarios and perform pre-UAT validation, Query databases and analyze system data to troubleshoot issues and investigate data quality problems, Evaluate integration capabilities, determine optimal endpoints, and work creatively within system constraints, Create technical documentation for field mappings, configurations, and provide written status updates to clients and team""}, {""title"": ""Your skills and experience"", ""body"": ""Low-Code Automation Expertise -1+ years of hands-on experience building complex, multi-step workflows in n8n, Make.com, Zapier, or similar platforms., Enterprise Integration Background -Understanding of REST APIs, ability to read API documentation, test endpoints with tools like Postman, and knowledge of various authentication methods (OAuth, API keys, bearer tokens)., Data & Database Skills -Ability to write SQL queries to verify data, troubleshoot issues, and understand data relationships., Communication & Work Style -Clear communication in English (written and spoken) with US-based clients and management., Flexibility for US Hours -Comfortable attending late evening calls for client UAT sessions and team coordination., Prior experience with n8n is a plus., JavaScript knowledge for writing custom functions within workflows., Experience working with US-based clients or in professional services environments., Pre-built adapters: 2000+ enterprise platform adapters built by our engineering team, Enterprise systems: ERP, CMMS, WMS, financial platforms, Databases: SQL Server, PostgreSQL, MySQL, Testing tools: Postman, database clients, API documentation platforms, AI assistants:for documentation and analyzis""}, {""title"": ""Why you'll love working here"", ""body"": ""Annual bonus (13th salary)based on individual and company performance, Annual healthcare allowance, ESOP -commitment to Makini's growth, UNLIMITED VACATION policy- take time off when you need it, Flexible work schedule- manage your own hours outside of required client calls, Fully remote- work from anywhere, AI tools and resources- subscriptions to AI agents and AI credits to enhance your productivity, Professional development opportunities, Exposure to cutting-edge enterprise technologiesand US market practices, Collaborative team environmentwith engineering and QA support, International work experience- daily interaction with US-based clients and team, Work-life balance- flexible hours compensate for occasional late calls""}]","Makini","Low-Code/No-Code Developer"
"Senior Product Support Engineer, APAC (Automation Test)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Compelling Pay and Incentives, Well-being & Work-life Balance, Professional Development and Recognition""}, {""title"": ""Job description"", ""body"": ""As a Senior Product Support Specialist, your role is to provide answers to Katalon customers\u2019 issues, recommend solutions, and guide users through features and functionalities, To be successful in this role, you should be an excellent communicator who\u2019s able to earn our clients\u2019 trust, and also be familiar with help desk software, Ultimately, you will help establish our reputation as a company that offers excellent technical support to our customers, An ideal applicant would be self-driven, with an interest in digging deep into problems, and draw satisfaction from going above and beyond to provide solutions, First point of contact to handle customer questions, error reports, feature suggestions, or license inquiries, Manage the opening, status update, and closing of support tickets to ensure issue identification and resolution SLAs are met, Analyze the logs and reproduce the issue to identify the root cause., Participate in customer troubleshooting calls to identify and resolve critical or recurring issues, Assist customers in integrating Katalon products with their internal systems or third-party tools (e.g., Jira, Jenkins, GitHub), including advanced custom configurations., Offer assistance for advanced and high-priority technical challenges that exceed standard support capabilities., Conduct tailored training sessions on product functionality, explore advanced features in depth, and facilitate best practices and knowledge-sharing workshops., Collaborate with cross-functional teams (Support, Product, Success and other teams) to address customer needs and improve product functionality., Develop and maintain a vast knowledge of our products and services - be an expert, Manage the self-support documents, FAQ articles""}, {""title"": ""Your skills and experience"", ""body"": ""5+ years of hands-on experience in Automation Testing (mobile testing, web-based testing, API testing, or WinApp testing), Proficiency in one or more of the following programming languages: Python, Java, JavaScript., Practical expertise in mobile testing, web-based testing, API testing, and WinApp testing; Network experience is a strong advantage., Demonstrated self-starting and supportive team spirit., Ability to effectively multitask and excel in a fast-paced environment., Strong command of English for effective communication and presentation skills., Comfortable working in and assisting others through company help desk software, such as Salesforce in addition to other remote access desktop programs, Aptitude to learn and understand new and emerging technologies, Be organized, patient, empathetic, and able to listen to customers to provide excellent service and support""}, {""title"": ""Why you'll love working here"", ""body"": ""Total Remuneration:Satisfying your financial goals through competitive compensation and periodic performance bonuses., Well-being & Work-life Balance:Staying healthy through comprehensive health plans and generous paid leaves., Statutory Compliance:Labor compliance with local regulations that ensure employee security., Work Facilities & Accommodation:Top-notch equipment, supportive allowances, and A-class facilities., Diversity, Equity, Engagement, & Inclusion:Becoming part of a global team that celebrates differences, equal opportunity, and meaningful employee recognition., Growth & Rewards:Thriving professionally through employee enablement, a culture of trust, and rewarding performance.""}]","Katalon","Automation Tester"
"Java Developer (AWS, VueJS, React JS, Angular JS)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""International working environment, Competitive compensation package and benefits, Interacting with leading-edge technologies""}, {""title"": ""Job description"", ""body"": ""N/A""}, {""title"": ""Your skills and experience"", ""body"": ""1.5+ years of experience in fullstack development with enterprise Java and modern JS frameworks, Deep expertise in Java, Spring Boot,\u2026 and REST API design, Dxperience with front-end development using HTML5, CSS3, JavaScript, and frameworks such asReact.js, Angular, or Vue.js., Experience with RESTful API design and integration., Working knowledge of databases (SQL and NoSQL)., Good understanding of CI/CD practices and containerization (Docker/Kubernetes)., Experience with cloud platforms (AWS, Azure), Excellent English communication skills for engaging with international stakeholders, Familiarity with digital transformation projects and IT consulting environments, Knowledge of security standards, compliance, and data protection practices, Exposure to Agile and hybrid project delivery models, Ability to understand client business needs and translate into technical solutions, Willingness to work onsite at the customer\u2019s office (in HCMC)""}, {""title"": ""Why you'll love working here"", ""body"": ""Unique opportunity to work with multinational team of Hitachi in over 130 countries., Incomparable chance to participate in full Software Development Life Cycle (SDLCs) and comprehensive soft skills training., Competitive remuneration with attractive allowances & bonuses., Opportunities for advanced career development overseas, including the US, UK,. Japan..., Competitive & attractive compensation and benefits packages:Allowance for English, Japanese language certifications.Subsidy for transportation and meals.13th salary & BonusAdditional Premium Health Insurance Package for employees.Annual checking of health and company trip for employees.Flexible working hours, Allowance for English, Japanese language certifications., Subsidy for transportation and meals., 13th salary & Bonus, Additional Premium Health Insurance Package for employees., Annual checking of health and company trip for employees., Flexible working hours, Being an integral part of a dynamic and fast-growing global enterprise., An open, professional, and nourishing environment with out-side of work activities, such as football, tennis, badminton, dancing, music, and charity.""}]","Hitachi Digital Services","Backend Developer"
"Backend Developer (Node.js/Golang/Java/Rust/C)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Hybrid, flexible, results over control, Build top global product with great minds, Competitive pay, rewarding performance""}, {""title"": ""Job description"", ""body"": ""Design and build high-performance, scalable backend systems capable of handling millions of users and concurrent transactions., Develop APIs and integrations with various exchanges, wallets, and blockchain protocols., Optimize database performance and scalability to ensure efficient real-time data ingestion and processing., Implement efficient caching and storage solutions to deliver lightning-fast data access to our users., Collaborate closely with front-end developers and the product manager to translate user needs into technical solutions., Integrate with third-party services and exchanges to expand our data reach., Write clean, well-documented code, adhering to best practices for code quality and security.""}, {""title"": ""Your skills and experience"", ""body"": ""At least 5 years of experience as a backend developer, with a proven record of building and maintaining high-load systems., Experience in designing scalable, highly available system architectures to support product growth., Strong experience with databases such as MongoDB, Elasticsearch, or ClickHouse, including query optimization, indexing, sharding, and use of caching (Redis, Memcached)., Proficiency in at least one backend language: Node.js, Golang, Java, Rust, or C, with the ability to write clean, maintainable, and efficient code., Strong analytical and problem-solving skills, including the ability to analyze business requirements, design optimal solutions, and work independently to resolve complex technical issues., Understanding of blockchain technology, smart contracts, and the blockchain ecosystem (on-chain/off-chain data)., Experience working on or integrating with blockchain projects., Hands-on experience with Linux-based systems, including Nginx, Haproxy, Cloudflare, and CI/CD pipelines., Experience in deploying, maintaining, and troubleshooting systems in production environments.""}, {""title"": ""Why you'll love working here"", ""body"": ""Competitive salary (based on skills and experience) and benefits package., Hybrid work model - enjoy the flexibility of working remotely and in the office., Be a part of a passionate team building the future of crypto - we're not just colleagues, we're a tribe., A fast-paced environment with exciting challenges and opportunities to learn and grow""}]","Birdeye.so","Backend Developer"
"DevOps Engineer (CI/CD, AWS)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Global Game Platform, Young Team, Big Opportunities, Modern Tech, Professional Culture""}, {""title"": ""Job description"", ""body"": ""Design, build, and operate AWS infrastructure architecture optimized for TypeScript/Nest.js applications., Establish and enhance CI/CD pipelines (e.g., Jenkins, GitLab CI, AWS CodePipeline)., Manage and automate infrastructure using Infrastructure as Code (IaC) (e.g., AWS CDK, Terraform)., Build and manage containerized environments (Docker, Kubernetes, ECS, EKS, Fargate)., Implement and manage monitoring, logging, and alerting systems (e.g., CloudWatch, Prometheus, Grafana, ELK/EFK)., Ensure system reliability, performance, and scalability based on SRE (Site Reliability Engineering) principles., Collaborate with development teams to optimize deployment processes and quickly resolve operational issues., Manage and optimize AWS networking (VPC), security (IAM, Security Groups), and costs.""}, {""title"": ""Your skills and experience"", ""body"": ""3+ years of experience in DevOps or SRE., (Mandatory) Hands-on experience developing or operating TypeScript and Nest.js (or Node.js) based services., In-depth knowledge and hands-on experience with AWS services (e.g., EC2, S3, RDS, VPC)., Experience with container technologies like Docker and Kubernetes., Experience building and automating CI/CD pipelines., Experience with Infrastructure as Code (IaC) tools., General knowledge of systems, networking, and security., Experience with CI/CD pipe line., Experience with any TDD methodology framework., Experience that had launched and maintained any commercial service., Can present what and how you did refactoring and what you got., Optimization to reduce the cost with Infrastructures and codes., Knowledge of ways to keep the high availability., In-depth knowledge of any design pattern., In-depth knowledge of microservices deployment technologies., Ability to work independently and collaborate effectively with cross-functional teams., UNIX/LINUX kernel coding experience like making RTOS or Firmware., Ability to be a front-end developer too., Advanced English or higher., Well maintained repository with short, concise, and precise commit messages., High level of documentation (show us your READ.ME or any swagger etc\u2026)., Have a strong engineering mindset and focus on technical solutions, rather than artistic design.""}, {""title"": ""Why you'll love working here"", ""body"": ""Competitive salary with regular performance reviews, Premium healthcare package for you and your family, 13 annual leave days + 4 paid sick leave days, Full insurance coverage (Social, Health, Unemployment), Fast-track career development in our growing Vietnam team, Young, collaborative, and supportive team""}]","XT Solution","DevOps Engineer"
"Fullstack Developer (Python/ Golang/ C++)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Work in a young, dynamic and motivated environment, Very Competitive Salary. Yearly Pay Increment., Work with the projects aboard - US""}, {""title"": ""Job description"", ""body"": ""Provides and support a strategic vision that integrates a broad range of ideas for applications and software developments., Work on web and software development projects within different disciplines, which influences multiple areas of the business., Work closely with the product manager, business analyst, and chief engineer to develop the technical design and solutions., Be an integral part of the lifecycle of software or web development., Analyze, code, test, implement, and update existing or new software and web applications to find solutions to the current company\u2019s technology needs., Assess the hiring process of the team selection to ensure the balance between selecting skilled and experienced as required by the project., Provide solutions to technical difficulties and complex issues that might affect various fields and subject areas simultaneously., Coordinate with other team members and provide the tangible product., Use a process-driven method to approach design solutions., Mentor other peer engineers with workflow and complex software solution buildings with your skills and experience., Work collectively with the product owner, program leadership, and others and support them in resolving hitching issues., Plan your development tasks accordingly to improve and grow your performance considerably., Only shortlisted candidates will be invited for the interview""}, {""title"": ""Your skills and experience"", ""body"": ""Bachelor degree in computer programming or any other related field, Over 3 yearsof software development/programming/coding professional work experience, Good English communication skills, both written and oral, Good interpersonal communication skills to work in a friendly workplace environment, Demonstrated organizational, analytical and interpersonal skills, Flexible team player, Ability to manage tasks independently and take ownership of responsibilities, Ability to learn from mistakes and apply constructive feedback to improve performance, Ability to communicate technical information clearly and articulately, Ability to adapt to a rapidly changing environment, In-depth understanding of the systems development life cycle, Proficiency programming in more than one programming language:Python, Go, C++, Ruby,.Net, Objective-C, ReactJS, NodeJS, JavaScript, HTML, Have knowledge in Grafana, InfluxDB, Kafka, EMQX/MQTT, Telegraf, Experienced inMS SQL, MySQL, Oracle DB, PostgreSQL, MongoDB, Proficiency using versioning tools: GIT, CVS, SVN, Mercurial\u2026, Experienced in developing on Unix/Linux environments, Experience with unit testing, release procedures, coding design and documentation protocol as well as change management procedures, High critical thinking skills to evaluate alternatives and present solutions that are consistent with business objectives and strategy""}, {""title"": ""Why you'll love working here"", ""body"": ""Competitive salary compensation, Development in technical skill, Work with talented guys, Be one of the key members to create our further development, Company trip, team activities, Well-equipped facilities: Laptop & PC with 2 monitors, Salary raise: twice a year or 6 month if good performance, Opportunities to go on business trips to US, Creative & young working space, 12-day annual leave per year., Play Sport: Badminton, Flexibility in working space: work from home (1 days per month)., Unlike other startups in Vietnam, we are a very small team handling a big website and app, so you can learn how to be extremely efficient with your work., No nonsense: We care about results, not processes. We are not going to slow you down with meetings or bureaucratic nonsense or politics. You can focus relentlessly on your work here., Work hard, play hard. Our company culture is very open and we have lots of dinner and outings together.""}]","OceanNet Software","Fullstack Developer"
"[Sign-on Bonus] Senior Frontend Engineer - $55K/year","[{""title"": ""Top 3 reasons to join us"", ""body"": ""Top-notch Annual Income, Modern Office & Perks, Unlimited Growth Opportunities""}, {""title"": ""Job description"", ""body"": ""Design, develop, and implement user-facing features using ReactJS and NextJS., Optimize web applications for performance, scalability, and cross-browser compatibility., Lead the implementation of Server-Side Rendering (SSR) and Client-Side Rendering (CSR) for complex features., Ensure clean, maintainable, and scalable code through adherence to industry standards and peer code reviews., Debug and resolve performance bottlenecks using tools like Sentry, Kong logs, and Cloudflare., Translate wireframes and prototypes into high-quality, responsive, and accessible code., Collaborate with UI/UX designers to deliver user-centric and consistent experiences., Work closely with backend teams to integrate APIs seamlessly into the frontend., Participate in deployment processes and ensure system stability through efficient debugging and issue resolution., Collaborate with stakeholders to analyze requirements and break them into actionable technical tasks., Work with cross-functional teams (backend, QA, DevOps) to ensure the successful delivery of projects., Share knowledge with team members and provide guidance on frontend best practices., Proactively suggest improvements to workflows, tools, and code quality to enhance team productivity and product quality.""}, {""title"": ""Your skills and experience"", ""body"": ""Education: Bachelor\u2019s degree in Information Technology, Computer Science, or related fields., Experience, 3-6 years of experience in frontend development with strong expertise in ReactJS, NextJS, and modern JavaScript., Proficient in state management tools like Redux, Recoil, or similar libraries., Hands-on experience in building responsive, cross-browser-compatible, and accessible web applications., Hands-on experience with Node.js to develop APIs and optimize SSR logic., Familiarity with modern frontend tools and workflows (e.g., Webpack, Vite, Git)., Basic understanding of AWS S3, Cloudflare, or similar tools for asset delivery., Capable of translating business requirements into technical solutions., English: Professional working proficiency, Soft Skills:, Strong problem-solving skills., Familiarity with Agile/Scrum, Preferred Skills(but not required):, Has knowledge of design, and coding principles (e.g.: clean code, DRY/KISS, SOLID), Has knowledge of Postgres, KAFKA, Elasticsearch, S3/Minio, Knowledge of testing frameworks like Jest, React Testing Library., Familiarity with CI/CD pipelines for frontend applications., Experience with eCommerce platforms is a plus.""}, {""title"": ""Why you'll love working here"", ""body"": ""Up to 30 months of salary per yearthrough competitive salary packages and performance-based bonuses., Total annualcompensationup to$55,000, reflecting your expertise and contribution., Full salary\u00a0during probation & Guaranteed 13th month salary, 12 days\u00a0work-from-home\u00a0& 12 days of paid annual leave, plus seniority paid leave, Global health insurance\u00a0package\u00a0for yourself and direct family members, plus annual health checkup, Hands-on exposure to cutting-edge technologies and complex system architecture in a global-scale project., Clear career advancement pathways and access to continuous professional development programs., Contribute to projects that redefine how brands connect with consumers globally., Opportunity to work on challenging problems in data analytics, customer engagement, and operational efficiency.""}]","Crossian","Frontend Developer"
"Chuyên viên DevOps Engineer (Database, SQL)","[{""title"": ""Job description"", ""body"": ""C\u00f3 kinh nghi\u1ec7m l\u00e0m vi\u1ec7c v\u1edbi c\u00e1c h\u1ec7 th\u1ed1ngKubernetes, Red hat OpenShift, Gitlab, Jenkins, Th\u1ef1c hi\u1ec7n c\u00e1c c\u00f4ng c\u1ee5 v\u00e0 khung t\u1ef1 \u0111\u1ed9ng h\u00f3a(CI/CD pipelines), Kh\u1eafc ph\u1ee5c s\u1ef1 c\u1ed1 s\u1ea3n xu\u1ea5t v\u00e0 ph\u1ed1i h\u1ee3p v\u1edbi nh\u00f3m ph\u00e1t tri\u1ec3n \u0111\u1ec3 h\u1ee3p l\u00fd h\u00f3a vi\u1ec7c tri\u1ec3n khai \u1ee9ng d\u1ee5ng, Ph\u1ed1i h\u1ee3p v\u1edbi c\u00e1c th\u00e0nh vi\u00ean trong nh\u00f3m \u0111\u1ec3 c\u1ea3i thi\u1ec7n c\u00f4ng c\u1ee5, h\u1ec7 th\u1ed1ng v\u00e0 quy tr\u00ecnh k\u1ef9 thu\u1eadt v\u00e0 b\u1ea3o m\u1eadt d\u1eef li\u1ec7u, Ph\u00e1t tri\u1ec3n v\u00e0 duy tr\u00ec t\u00e0i li\u1ec7u thi\u1ebft k\u1ebf v\u00e0 x\u1eed l\u00fd s\u1ef1 c\u1ed1""}, {""title"": ""Your skills and experience"", ""body"": ""T\u1ed1t nghi\u1ec7p \u0110\u1ea1i h\u1ecdc tr\u1edf l\u00ean, C\u00f3 kinh nghi\u1ec7m l\u00e0m vi\u1ec7c nh\u01b0 m\u1ed9tDevOps Engineerho\u1eb7c c\u00e1c v\u1ecb tr\u00ed t\u01b0\u01a1ng t\u1ef1, C\u00f3 kinh nghi\u1ec7m v\u1ec1Network, serverv\u00e0 gi\u00e1m s\u00e1t tr\u1ea1ng th\u00e1i \u1ee9ng d\u1ee5ng, Ki\u1ebfn th\u1ee9c t\u1ed1t v\u1ec1 ng\u00f4n ng\u1eef l\u1eadp tr\u00ecnh, Kinh nghi\u1ec7m l\u00e0m vi\u1ec7c v\u1edbic\u01a1 s\u1edf d\u1eef li\u1ec7u v\u00e0 SQL, K\u0129 n\u0103ng gi\u1ea3i quy\u1ebft v\u1ea5n \u0111\u1ec1, C\u00f3 th\u1ec3 l\u00e0m vi\u1ec7c \u0111\u1ed9c l\u1eadp v\u00e0 l\u00e0 m\u1ed9t ph\u1ea7n c\u1ee7a nh\u00f3m""}, {""title"": ""Why you'll love working here"", ""body"": ""\u0110\u00e0o t\u1ea1o, ch\u1ebf \u0111\u1ed9 ph\u00e9p n\u0103m, l\u1ec5, t\u1ebft, b\u1ea3o hi\u1ec3m ch\u0103m s\u00f3c s\u1ee9c kh\u1ecfe, ngh\u1ec9 m\u00e1t, \u0111\u1ed3ng ph\u1ee5c,\u2026, C\u01a1 h\u1ed9i th\u0103ng ti\u1ebfn, ph\u00e1t tri\u1ec3n ngh\u1ec1 nghi\u1ec7p t\u1ea1i Vietbank, L\u01b0\u01a1ng th\u00e1ng 13, th\u01b0\u1edfng l\u1ec5 t\u1ebft theo t\u00ecnh h\u00ecnh th\u1ef1c t\u1ebf c\u1ee7a Ng\u00e2n h\u00e0ng, Th\u01b0\u1edfng hi\u1ec7u qu\u1ea3 kinh doanh, c\u00e1c kho\u1ea3n th\u01b0\u1edfng theo k\u1ebft qu\u1ea3 ho\u1ea1t \u0111\u1ed9ng c\u1ee7a \u0111\u01a1n v\u1ecb v\u00e0 k\u1ebft qu\u1ea3 c\u00f4ng vi\u1ec7c c\u1ee7a c\u00e1 nh\u00e2n.""}]","Vietbank","DevOps Engineer"
"Java (Spring) Backend Engineer (Middle/Senior)","[{""title"": ""Top 3 reasons to join us"", ""body"": ""13th salary + Loyalty bonus, Biannual Performance and Salary review, Liberty Insurance covers inpatient + outpatient""}, {""title"": ""Job description"", ""body"": ""Write clean, well-tested, and maintainable code, adhering to established coding standards and best practices., Ensure component optimization for consistency and performance across all systems., Enhance system reliability and performance through ongoing optimization., Identify, diagnose, and resolve system bugs to maintain stability and efficiency., Establish methodologies and define metrics for system monitoring and performance tracking., Develop and maintain unit tests to prevent regression and ensure code quality., Collaborate with team members to understand business requirements and develop applications., Collaborate with cross-functional teams to design, develop, and deliver new features., Share technical knowledge and best practices with the broader engineering team., Participate in code reviews, offering constructive feedback and ensuring adherence to coding standards., Contribute to and lead the ongoing evolution of the microservices architecture, focusing on ensuring scalability, reliability, and long-term maintainability.""}, {""title"": ""Your skills and experience"", ""body"": ""At least4 yearsof hands-on experience in Java backend, Strong hands-on experience in frameworks such as Spring Boot, JUnit, etc., Familiar knowledge of Relational Databases, SQL and ORM technologies., Good understanding and knowledge of OOP, data structure, design patterns, concurrency programming and problem-solving, Understanding of software development lifecycle (SDLC)., Hands-on experience in Cloud (AWS, Azure, GCP) is a plus., At leastUpper-intermediateEnglish communication is mandatory., Understanding of software development lifecycle (SDLC)., Optimistic and proactive; dare to innovate and challenge different things., Ability to research, learn quickly, be open-minded, and work in a fun environment., Associate's/Bachelor\u2019s degree in Computer Science / Information Technology / Software Development, or related fields.""}, {""title"": ""Why you'll love working here"", ""body"": ""Recognition & Rewards:13th-month salaryBiannual Performance and Salary review, 13th-month salary, Biannual Performance and Salary review, Comprehensive Insurance Coverage:Full government public insurancecontributions based on gross salaryPremium health insuranceAnnual health check, Full government public insurancecontributions based on gross salary, Premium health insurance, Annual health check, Clear career development and growth structure; Training sessions and Learning workshops, 14 days of annual leave and one additional day of leave for every year of service, Laptop/MacBook and top-notch facilities are provided based on each role, Agile/Scrum-based internal workflows for efficient and collaborative development, Company trips, parties and regular team-building activities; Weekly happy hour, coffee, snacks, and board games, International Workplace:English-speaking environment, Positive and Open-Minded Culture:Engineers are encouraged to propose innovative solutions that enhance productivity and code quality, 1-on-1 Mentorship:Monthly coffee sessions with managers offer personalized feedback, goal setting, and career development opportunities, Flexible Working Hours:Promote work-life balance and individual productivity""}]","Floating Cube Studios","Backend Developer"
