quiz_title,category,tags,question_text,options,correct_answer,difficulty_levels
Python Data Structures,Programming,"python,data-structures",What is the key difference between a list and a tuple in Python?,"[""Lists are mutable; tuples are immutable"", ""Lists can hold strings; tuples can only hold numbers"", ""Tuples are faster for all operations"", ""Lists use {} syntax; tuples use [] syntax""]",Lists are mutable; tuples are immutable,"[""easy""]"
Python Data Structures,Programming,"python,data-structures",What is the time complexity of accessing a dictionary value by key?,"[""O(1) average case"", ""O(n)"", ""O(log n)"", ""O(n^2)""]",O(1) average case,"[""medium""]"
Python Data Structures,Programming,"python,data-structures",What does the set data type guarantee about its elements?,"[""All elements are unique (no duplicates)"", ""Elements are always sorted"", ""Elements maintain insertion order"", ""Elements are always strings""]",All elements are unique (no duplicates),"[""easy""]"
Python Data Structures,Programming,"python,data-structures",What is a list comprehension in Python?,"[""A concise syntax for creating lists: [expression for item in iterable]"", ""A way to sort lists alphabetically"", ""A method that compresses list data"", ""A tool for comparing two lists""]",A concise syntax for creating lists: [expression for item in iterable],"[""easy""]"
Python Data Structures,Programming,"python,data-structures",Python dictionaries maintain insertion order (Python 3.7+).,"[""True"", ""False""]",True,"[""medium""]"
Python Data Structures,Programming,"python,data-structures",What is the difference between .append() and .extend() for lists?,"[""append() adds one element; extend() adds each element from an iterable"", ""append() adds to the end; extend() adds to the beginning"", ""extend() is faster than append()"", ""They do the same thing""]",append() adds one element; extend() adds each element from an iterable,"[""medium""]"
Python Data Structures,Programming,"python,data-structures",What does collections.defaultdict do?,"[""Provides a default value for missing keys instead of raising KeyError"", ""Sorts dictionary keys by default"", ""Limits dictionary size to a default maximum"", ""Creates a read-only dictionary with defaults""]",Provides a default value for missing keys instead of raising KeyError,"[""hard""]"
Python Data Structures,Programming,"python,data-structures",What is the difference between a shallow copy and a deep copy of a list?,"[""Shallow copy shares nested references; deep copy recursively duplicates all nested objects"", ""Shallow copy is faster; deep copy produces the same result"", ""Deep copy only works with dictionaries"", ""Shallow copy creates a string representation; deep copy creates a binary one""]",Shallow copy shares nested references; deep copy recursively duplicates all nested objects,"[""hard""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is the CSS box model?,"[""Content, padding, border, and margin layers around every element"", ""A layout system for creating grid designs"", ""A method for centering elements horizontally"", ""The hierarchy of CSS selectors""]","Content, padding, border, and margin layers around every element","[""easy""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What does 'display: flex' do?,"[""Creates a flex container for one-dimensional layout of child elements"", ""Makes the element flexible in size only"", ""Creates a two-dimensional grid layout"", ""Makes the element invisible but keeps its space""]",Creates a flex container for one-dimensional layout of child elements,"[""easy""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is CSS specificity and how is it calculated?,"[""A weight system: inline > IDs > classes/attributes > elements, determining which rule wins"", ""The order in which CSS files are loaded"", ""The number of properties in a CSS rule"", ""How fast a CSS rule is processed by the browser""]","A weight system: inline > IDs > classes/attributes > elements, determining which rule wins","[""hard""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is the difference between 'em' and 'rem' units in CSS?,"[""em is relative to the parent's font size; rem is relative to the root element's font size"", ""em is for margins; rem is for fonts"", ""rem is a newer version of em with the same behavior"", ""em is absolute; rem is relative""]",em is relative to the parent's font size; rem is relative to the root element's font size,"[""medium""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is semantic HTML?,"[""Using HTML elements that convey the meaning and structure of content"", ""Writing HTML that passes W3C validation"", ""Using only div and span elements"", ""Adding comments to explain HTML code""]",Using HTML elements that convey the meaning and structure of content,"[""easy""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",CSS Grid is designed for two-dimensional layouts while Flexbox is for one-dimensional layouts.,"[""True"", ""False""]",True,"[""medium""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What does the 'position: sticky' property do?,"[""Element scrolls normally until reaching a threshold, then becomes fixed in place"", ""Element is always fixed to the viewport"", ""Element stays in its normal document flow position"", ""Element is removed from the document flow""]","Element scrolls normally until reaching a threshold, then becomes fixed in place","[""medium""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is the purpose of the 'alt' attribute on images?,"[""Provides alternative text for accessibility and when images fail to load"", ""Sets the image resolution"", ""Defines the image file format"", ""Specifies hover text for the image""]",Provides alternative text for accessibility and when images fail to load,"[""easy""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is a CSS media query used for?,"[""Applying styles conditionally based on device characteristics like screen width"", ""Querying a database from CSS"", ""Loading external media files like videos"", ""Optimizing images for different devices""]",Applying styles conditionally based on device characteristics like screen width,"[""easy""]"
CSS & HTML Mastery,CSS/HTML,"css,html,frontend,web",What is the z-index property and how does it work?,"[""Controls the visual stacking order of positioned elements along the z-axis"", ""Sets the zoom level of an element"", ""Controls the transparency of an element"", ""Defines the element's position in the DOM""]",Controls the visual stacking order of positioned elements along the z-axis,"[""medium""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is the difference between 'interface' and 'type' in TypeScript?,"[""Interfaces support declaration merging; types support unions, intersections, and advanced type manipulation"", ""They are completely identical"", ""Interfaces are for classes only; types are for objects"", ""Types are deprecated in favor of interfaces""]","Interfaces support declaration merging; types support unions, intersections, and advanced type manipulation","[""medium""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is a generic type in TypeScript?,"[""A type parameter that allows creating reusable components working with multiple types while preserving type safety"", ""A type that can hold any value, similar to 'any'"", ""A built-in TypeScript type for generic objects"", ""A type that is automatically inferred by the compiler""]",A type parameter that allows creating reusable components working with multiple types while preserving type safety,"[""medium""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is the 'unknown' type and how does it differ from 'any'?,"[""unknown requires type narrowing before use; any bypasses all type checking"", ""unknown is for null values; any is for undefined values"", ""They are identical but unknown is newer"", ""any is type-safe; unknown is not""]",unknown requires type narrowing before use; any bypasses all type checking,"[""hard""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What is a conditional type in TypeScript?,"[""A type that selects between two types based on whether a type extends another: T extends U ? X : Y"", ""A type that changes at runtime based on conditions"", ""A type that only exists in if/else blocks"", ""A type for optional properties""]",A type that selects between two types based on whether a type extends another: T extends U ? X : Y,"[""expert""]"
TypeScript Advanced Types,TypeScript,"typescript,types,generics",What does the 'keyof' operator do?,"[""Produces a union type of all property keys (names) of an object type"", ""Returns the key count of an object"", ""Creates a new object with only the specified keys"", ""Checks if a key exists on an object at runtime""]",Produces a union type of all property keys (names) of an object type,"[""medium""]"
